"","STATEFP","UrbanAreaNo","income","age","income.LowestQuintile","income.SecondQuintile","income.ThirdQuintile","income.FourthQuintile","pop","white","hispanic","africanamerican","asian","twoormoreraces","educated","unemployed","notworkforce","gini","rent","State","UrbanArea","pct_white","pct_africanamerican","pct_asian","pct_hispanic","pct_twoormoreraces","pct_highed","pct_unem"
"1","Adjuntas, PR","00550",11549,38.2,2499,8256,15832,32764,10884,10438,10883,104,0,67,1264,1223,5087,0.6041,383," PR","Adjuntas",0.959022418228592,0.0095553105475928,0,0.999908122013966,0.00615582506431459,0.116133774347666,0.21097119199586
"2","Aguadilla--Isabela--San Sebastián, PR","00631",15913,39.1,5654,12217,20640,35909,296938,220903,289128,9049,959,36808,38785,23589,142249,0.5114,406," PR","Aguadilla--Isabela--San Sebastián",0.74393644464501,0.0304743751220794,0.00322963042790077,0.973698213094989,0.123958536798928,0.130616492331733,0.152493066733898
"3","Arecibo, PR","03034",17908,38.8,6094,13755,22839,40575,139196,119362,138260,3978,808,3359,21312,8709,65104,0.5095,400," PR","Arecibo",0.857510273283715,0.0285784074255007,0.00580476450472715,0.993275668841059,0.0241314405586367,0.153107847926665,0.117543054580791
"4","Coamo, PR","18316",20792,34.6,6295,15766,27542,45659,39194,25686,39088,2973,0,651,5844,1652,16394,0.4994,442," PR","Coamo",0.655355411542583,0.0758534469561668,0,0.997295504413941,0.0166096851558912,0.149104454763484,0.0724561403508772
"5","Coco--Salinas, PR","18383",16218,36.1,4826,11280,22649,40150,22229,11775,22099,1916,93,1319,2844,1008,9706,0.4973,433," PR","Coco--Salinas",0.529713437401592,0.08619371091817,0.00418372396419092,0.99415178370597,0.0593369022448153,0.127940978001709,0.0804918949133594
"6","Emajagua, PR","27372",17964,41.9,8459,13131,21931,35088,8181,4163,8167,2158,0,1292,1008,742,4046,0.4477,332," PR","Emajagua",0.508861997310842,0.26378193374893,0,0.998288717760665,0.157926903801491,0.123212321232123,0.17944377267231
"7","Fajardo, PR","28981",19609,37.2,7517,15433,25960,42238,83653,49535,82768,7009,598,2158,11073,6847,33713,0.4965,458," PR","Fajardo",0.592148518283863,0.0837865946230261,0.00714857805458262,0.989420582644974,0.0257970425447982,0.132368235448818,0.137104525430517
"8","Florida--Imbéry--Barceloneta, PR","30115",16547,37.8,5508,12757,21738,37684,71191,66047,70800,1654,299,962,8244,2953,35510,0.5145,471," PR","Florida--Imbéry--Barceloneta",0.927743675464595,0.0232332738688879,0.00419996909721734,0.994507732719023,0.0135129440519167,0.115801154640334,0.0827611333763067
"9","Guayama, PR","35866",15872,35.7,5406,12445,20652,35488,79079,48854,78829,13460,32,7712,9472,5852,37637,0.5047,400," PR","Guayama",0.617787276015124,0.170209537298145,0.000404658632506734,0.996838604433541,0.0975227304341228,0.119778955221993,0.141209401090681
"10","Jayuya, PR","42778",17246,34.3,5370,12986,23113,36975,12505,10833,12487,252,0,963,1149,1213,5678,0.4826,411," PR","Jayuya",0.866293482606957,0.0201519392243103,0,0.998560575769692,0.0770091963214714,0.0918832467013195,0.177676871246521
"11","Juana Díaz, PR","43453",18889,36,7223,14798,23837,42016,79307,49072,78950,6116,213,17538,10387,5929,32742,0.4888,415," PR","Juana Díaz",0.618760008574275,0.0771180349779969,0.0026857654431513,0.995498505806549,0.221140630713556,0.130972045342782,0.127327391817889
"12","Maricao, PR","54469",15896,33.9,3691,10352,20300,34182,2629,2250,2629,35,0,15,246,43,1139,0.4617,367," PR","Maricao",0.855838721947509,0.0133130467858501,0,1,0.00570559147965006,0.0935717002662609,0.0288590604026846
"13","Mayagüez, PR","55738",16129,39.4,4557,11899,21218,37062,104776,55277,103730,4006,139,20377,14450,7038,53116,0.5666,392," PR","Mayagüez",0.527573108345423,0.0382339467053524,0.00132663968847828,0.99001679773994,0.194481560662747,0.137913262579217,0.136236933797909
"14","Ponce, PR","70642",16654,37.8,4752,12047,22145,40017,143207,108786,142332,7679,154,16874,23966,11120,64816,0.5843,400," PR","Ponce",0.759641637629445,0.0536216805044446,0.00107536642761876,0.993889963479439,0.117829435711941,0.16735215457345,0.141853018841449
"15","San Germán--Cabo Rojo--Sabana Grande, PR","78985",15645,40.3,5194,11762,20653,36259,118805,104329,118179,3645,5,1846,17301,4605,63544,0.5234,404," PR","San Germán--Cabo Rojo--Sabana Grande",0.878153276377257,0.0306805269138504,4.20857708008922e-05,0.994730861495728,0.0155380665796894,0.145625184125247,0.0833318253379418
"16","San Juan, PR","79093",22750,38,7896,17007,29941,52010,2103967,1387601,2082373,213990,7546,268630,374885,137420,855208,0.537,503," PR","San Juan",0.659516522835197,0.101707868992242,0.00358655815419158,0.989736531038747,0.127677858065264,0.178180076018303,0.110045252927106
"17","Santa Isabel, PR","79390",13346,35.3,2704,9800,16396,30290,9669,5324,9669,918,0,122,938,426,4652,0.5198,337," PR","Santa Isabel",0.550625711035267,0.094942600062054,0,1,0.0126176440169614,0.0970110662943428,0.0849113015746462
"18","Vieques (Vieques Municipio), PR","90622",17380,42.6,7698,14988,22360,34981,8563,3431,8442,1196,131,187,631,474,3749,0.4207,576," PR","Vieques (Vieques Municipio)",0.400677332710499,0.139670676164895,0.0152983767371248,0.985869438280976,0.0218381408384912,0.0736891276421815,0.0984628167843789
"19","Yauco, PR","97561",15228,37.5,5314,11831,19435,34093,90972,80190,90422,2886,30,2469,11177,7453,43823,0.5009,384," PR","Yauco",0.881480015829046,0.031724046959504,0.000329771797915842,0.993954183704876,0.0271402189684738,0.122861979510179,0.158073341958472
"20","Abbeville, LA","00037",38639,35,14003,27858,51423,81561,20435,13068,398,5842,743,491,1491,982,6059,0.4647,622," LA","Abbeville",0.639491069243944,0.285882065084414,0.0363591876682163,0.019476388549058,0.0240274039637876,0.0729630535845363,0.0683082915971063
"21","Abbeville, SC","00064",20660,42.3,9030,16647,31159,53389,5029,2180,0,2791,0,57,431,334,2001,0.5187,488," SC","Abbeville",0.433485782461722,0.554981109564526,0,0,0.0113342612845496,0.0857029230463313,0.110303830911493
"22","Abbotsford, WI","00091",40113,41.2,20152,32210,46818,80000,3591,3407,603,2,15,72,230,111,1020,0.4205,538," WI","Abbotsford",0.948760790866054,0.000556947925368978,0.00417710944026733,0.167919799498747,0.0200501253132832,0.0640490114174325,0.0431738623103851
"23","Aberdeen, MS","00118",21717,37.8,10090,15921,32541,52033,4692,1006,48,3603,4,79,441,396,1938,0.4964,538," MS","Aberdeen",0.214407502131287,0.767902813299233,0.000852514919011083,0.010230179028133,0.0168371696504689,0.0939897698209719,0.143790849673203
"24","Aberdeen, SD","00145",47725,34.7,20231,36875,58275,87774,26998,24635,568,361,563,253,4560,461,6243,0.4239,578," SD","Aberdeen",0.912474998148011,0.0133713608415438,0.0208533965478924,0.0210385954515149,0.00937106452329802,0.168901400103711,0.0222115152975187
"25","Aberdeen, WA","00172",40000,38.3,15831,31607,49137,77302,29345,24969,4440,244,445,1250,2946,1850,9940,0.4511,713," WA","Aberdeen",0.850877491906628,0.00831487476571818,0.0151644232407565,0.151303458851593,0.0425966944965071,0.100391889589368,0.0953362535429013
"26","Aberdeen--Bel Air South--Bel Air North, MD","00199",80110,38.9,34744,64117,95349,139512,216705,169511,9839,32193,6073,5606,48998,8668,50808,0.4018,1121," MD","Aberdeen--Bel Air South--Bel Air North",0.782220068757066,0.14855679379802,0.0280242726286888,0.0454027364389377,0.0258692692831268,0.226104612260908,0.0522492872083281
"27","Abernathy, TX","00226",47250,35.1,23356,36061,56679,87911,3229,2775,1656,46,7,249,280,122,866,0.3768,741," TX","Abernathy",0.859399194797151,0.0142458965624032,0.00216785382471353,0.512852276246516,0.0771136574790957,0.0867141529885413,0.0516292848074482
"28","Abilene, KS","00253",50398,41,19420,38451,59947,84974,6849,6509,230,2,12,270,855,161,2014,0.419,558," KS","Abilene",0.950357716454957,0.0002920134326179,0.0017520805957074,0.0335815447510585,0.0394218134034166,0.124835742444152,0.0332988624612203
