Zip_Code,Station_ID,Station_Name,Station_Type,County,CWI,Events
55001,106279,106279,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=106279,1
55001,106298,106298,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=106298,1
55001,107050,107050,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=107050,1
55001,109651,109651,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=109651,1
55001,122007,122007,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=122007,1
55001,159537,159537,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=159537,1
55001,182975,182975,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=182975,1
55001,185263,185263,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=185263,1
55001,195642,195642,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=195642,1
55001,257845,257845,Well,Washington,NA,1
55001,415673,415673,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=415673,1
55001,436623,436623,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=436623,1
55001,447256,447256,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=447256,1
55001,481473,481473,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=481473,1
55001,493244,493244,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=493244,1
55001,511687,511687,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=511687,1
55001,514374,514374,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=514374,1
55001,521836,521836,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=521836,1
55001,531452,531452,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=531452,1
55001,538861,538861,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=538861,1
55001,541305,541305,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=541305,1
55001,546257,546257,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=546257,1
55001,569813,569813,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=569813,1
55001,585138,585138,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=585138,1
55001,596084,596084,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=596084,1
55001,599977,599977,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=599977,1
55001,649680,649680,Well,Washington,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=649680,1
55001,H144597_001,H144597_001,,Washington,NA,1
55001,H144597_002,H144597_002,,Washington,NA,1
55001,H144597_003,H144597_003,,Washington,NA,0
55001,H144597_004,H144597_004,,Washington,NA,1
55005,157757,157757,Well,Anoka,https://apps.health.state.mn.us/cwiinfo/welllog.xhtml?wellId=157757,1
